wid,weibo_link,content,img_urls,origin_img_urls,is_origin,location,publish_time,publish_tool,like_num,forward_num,comment_num
QaLUeqzSp,https://weibo.cn/comment/QaLUeqzSp?uid=6859133019&rl=0#cmtfrm,骗子高仿小号到我头上了，朋友们不要上当。感觉这是个批量的骗子套路，注册几个号，然后用 Agentic 程序驱动浏览器找目标号，关注他的好友，llm 总结历史发博，发起相关聊天。@首都网警  [组图共2张] 原图 ,https://ww4.sinaimg.cn/large/007ucdPJly1i6opiqdwlhj30u01uon0r.jpg https://ww3.sinaimg.cn/large/007ucdPJly1i6opirnq0qj31402gwtj2.jpg,无,True,无,2025-10-25 16:35,微博轻享版,0,0,0
QaK6vDR3V,https://weibo.cn/comment/QaK6vDR3V?uid=6859133019&rl=0#cmtfrm,同时懂端侧三端原生、云原生、Agent Native 开发，并有大规模工程经验的，全中国不会超过 500 人。  ,,无,True,无,2025-10-25 12:00,微博轻享版,0,0,1
Q9NCBjkud,https://weibo.cn/comment/Q9NCBjkud?uid=6859133019&rl=0#cmtfrm,出差极速版，六天六个城市。京津冀～长三角～珠三角，飞机+高铁+租车，连轴转，最后一晚我选择坐动卧。  原图 ,https://ww1.sinaimg.cn/large/007ucdPJly1i6hbdnxeu3j317l0u07bu.jpg,无,True,无,2025-10-19 07:07,微博轻享版,4,0,0
PE9E4cMnD,https://weibo.cn/comment/PE9E4cMnD?uid=6859133019&rl=0#cmtfrm,自从去年学会 React Next.js 和 CSS Styling 后加上之前的服务器后端+运维经验现在最快几个小时能完成 idea 到上线  ,,无,True,无,2025-08-03 23:35,微博轻享版,3,0,1
PDeus6HML,https://weibo.cn/comment/PDeus6HML?uid=6859133019&rl=0#cmtfrm,我感觉我号快没了，10条发不出1条  原图 ,https://ww2.sinaimg.cn/large/007ucdPJgy1i3u2x2idvxj31402gwqjk.jpg,无,True,无,2025-07-28 22:05,微博轻享版,1,0,2
PCVThqBXS,https://weibo.cn/comment/PCVThqBXS?uid=6859133019&rl=0#cmtfrm,明末渊虚之羽本来狠狠期待召唤常遇春徐达汤和，一路打到白山黑水辽之东，犁庭扫穴破建奴……读了几年《明史》和《南明史》，看这辣鸡游戏的每一个别有用心的细节，都是对精神明朝人的严重创伤#明末渊虚之羽##南明##李定国##辽东#  [组图共2张] 原图 ,https://ww2.sinaimg.cn/large/007ucdPJgy1i3rsszi1rcj30u01fv41z.jpg https://ww3.sinaimg.cn/large/007ucdPJgy1i3rst0n686j31uo0u0dp0.jpg,无,True,无,2025-07-26 22:44,微博轻享版,2,0,1
PzVPBwLEF,https://weibo.cn/comment/PzVPBwLEF?uid=6859133019&rl=0#cmtfrm,今天是我的生日07月07日，来祝福我吧~  ,,无,True,无,2025-07-07 05:04,生日动态,1,0,0
Pz6UogM5b,https://weibo.cn/comment/Pz6UogM5b?uid=6859133019&rl=0#cmtfrm,今年2月份的时候绕广西自驾游（蹭的），关注到广西李白，即李宗仁、白崇禧，今日常有广西子弟道：如果当年李宗仁中原大战能够带领广西兵打败蒋介石，把握住这广西子弟几千年来唯一一次能够问鼎中原的机会，广西人就不用去广东打工了。我笑而不语，看我 ip！  ,,无,True,无,2025-07-01 19:26,微博轻享版,0,0,2
Pxz0XDsaP,https://weibo.cn/comment/Pxz0XDsaP?uid=6859133019&rl=0#cmtfrm,沉迷于二十四史和陆王心学于是逐渐和社会脱节  ,,无,True,无,2025-06-21 15:18,微博轻享版,2,0,1
Puwj4snPy,https://weibo.cn/comment/Puwj4snPy?uid=6859133019&rl=0#cmtfrm,打两个历史名人。史册流芳，虽未灭奴犹可法。洪恩浩荡，未能报国反成仇。#南明#  原图 ,https://ww3.sinaimg.cn/large/007ucdPJgy1i1zu4po6efj31131fxwkg.jpg,无,True,无,2025-06-01 14:54,微博轻享版,0,0,0
Pbp4d91LB,https://weibo.cn/comment/Pbp4d91LB?uid=6859133019&rl=0#cmtfrm,宇树科技 游戏科学 幻方量化 都在杭州  ,,无,True,无,2025-01-26 21:32,微博网页版,1,0,0
P8k3k7UMn,https://weibo.cn/comment/P8k3k7UMn?uid=6859133019&rl=0#cmtfrm,自卑的人，多是一个彻底的完美主义者。  ,,无,True,无,2025-01-06 15:15,微博网页版,3,0,5
P6m2YtzXb,https://weibo.cn/comment/P6m2YtzXb?uid=6859133019&rl=0#cmtfrm,称了下，得有十斤吧  原图 ,https://ww1.sinaimg.cn/large/007ucdPJgy1hww3nk9utpj30u0140adv.jpg,无,True,无,2024-12-24 16:39,微博轻享版,6,0,2
P4FTOuhtm,https://weibo.cn/comment/P4FTOuhtm?uid=6859133019&rl=0#cmtfrm,玩即刻一年多了，这可能是中文互联网质量最高的社区，没有之一。  ,,无,True,无,2024-12-13 15:31,微博轻享版,0,0,1
P3XsIcYia,https://weibo.cn/comment/P3XsIcYia?uid=6859133019&rl=0#cmtfrm,"转发理由:深圳真的太可了，前几天温度舒服得，穿短袖拖孩了  
原始用户: 尤洋1719
转发内容: 由于工作原因，我最近几年几乎去了所有国内外主要城市。华人高学历或技术人士应该去哪里？个人最想定居的5个城市1. 新加坡2. 深圳3. 上海4. 北京5. 旧金山个人最喜欢的5个度假城市1. 迪拜2. 马尔代夫3. 东京4. 奥兰多5. 巴厘岛定居考虑的因素：1. 生活便利，治安良好，华人社会。2. 能找到合适的工作。3. 气候和环境好。度假考虑的因素：1. 风景优美，环境宜人。2. 有高品质酒店。3. 有大型商场，大型超市和游乐场。我个人已经对去地标打卡不感兴趣了，不喜欢旅游，喜欢找个放松的地方度假。                 ",无,,False,无,2024-12-08 22:23,微博轻享版,0,0,0
P3uewm47k,https://weibo.cn/comment/P3uewm47k?uid=6859133019&rl=0#cmtfrm,20 多岁的大好年华，可以做一些非同寻常、稀奇古怪、大胆冒险、不可理喻、疯狂愚蠢、无利可图、看起来与「成功」不沾边的事。在余生里，这些经历将成为你的灵感缪斯。  ,,无,True,无,2024-12-05 19:59,微博网页版,2,0,1
P3jDl0vYA,https://weibo.cn/comment/P3jDl0vYA?uid=6859133019&rl=0#cmtfrm,"少时爱看琼瑶剧，爱情神圣得绝不像邓紫棋的泡沫，那时少男少女的恋爱观，很容易带上“天长地久”“至死不渝”的标签。再上初中时，学校每年都发一本湖南特色的《语文读本》，有一年的主题是散文，其中有一篇琼瑶的《少年尝尽愁滋味》，16 岁的作者死去活来，后来我才明白，这个就叫青春，少年进入伤春悲秋的非主流时代了。人生不过 10000 张的 3 天体验卡，红尘作伴，潇潇洒洒。                                 ",,无,True,无,2024-12-04 17:00,微博轻享版,4,0,0
P1NHC5wYU,https://weibo.cn/comment/P1NHC5wYU?uid=6859133019&rl=0#cmtfrm,怎么形容睡得好，自然醒来的那一刻就像刚通电被按了开机的电脑一样怎么形容失眠，前台应用都关了，后台活动怎么杀都杀不掉。  ,,无,True,无,2024-11-24 17:52,微博轻享版,8,0,3
OFmkscQji,https://weibo.cn/comment/OFmkscQji?uid=6859133019&rl=0#cmtfrm,“我自己在北京的生活条件很差，我住在一个叫三眼井的地方，和另外7个人合住在一个房间，我们全体挤在炕上，连呼吸的地方都没有。每逢我翻身都得预先警告身旁的人。由于我的职位低下，人们都不愿同我来往。我的职责中有一项是登记来图书馆读报的人的姓名，可是他们大多数都不把我当人看待。”  ,,无,True,无,2024-11-08 22:59,微博轻享版,0,0,1
ODVaj6ouh,https://weibo.cn/comment/ODVaj6ouh?uid=6859133019&rl=0#cmtfrm,刷到一离职帖子，标题是：《出去以后好好做人》  ,,无,True,无,2024-10-30 11:59,微博轻享版,0,1,1
OyaAitt8w,https://weibo.cn/comment/OyaAitt8w?uid=6859133019&rl=0#cmtfrm,举轻若重是本能，举重若轻是本事。  ,,无,True,无,2024-09-22 16:13,微博轻享版,3,0,2
Oux3z9wRg,https://weibo.cn/comment/Oux3z9wRg?uid=6859133019&rl=0#cmtfrm,每天一个冷知识，我们敬爱的朱镕基总理是朱元璋的直系后代，官方消息可查。  原图 ,https://ww1.sinaimg.cn/large/007ucdPJgy1ht4wl87gs4j313118hkik.jpg,无,True,无,2024-08-29 18:04,微博网页版,2,0,0
OpbL0voGr,https://weibo.cn/comment/OpbL0voGr?uid=6859133019&rl=0#cmtfrm,"差不多是四年前的今天开始北漂(年轻人一定要北漂，这样移居到其他城市后才有幸福感）最开始上班的时候上班可努力了，第一天 7 点到，9 点拿到发的 MBP，中午就开始接到小需求了，下午嘎嘎开写，前面几周几乎每天 11 点下班，从上地回回龙观有很多天桥，需要从天桥下面过，走的晚了没有青桔，只能走路回去，大部分是路上只能看到我一个人walking，有几次桥下面有流浪狗追我，开始我害怕极了，疯狂跑，后面随着开始读二十四史，内心稍微强大了点，一个人对一条大狗丝毫不虚，能把狗给吓跑。工作还算认真负责，工作差不多半年的时候加薪20%，工作快一年半的时候又升职加薪。可是一点不快乐，最开始我把我打工下班的视频发给发小看，巴拉巴拉一堆互联网事，他说，印象中你一直是个洒脱的人，这种苦怎么吃的下，过年回去聚餐，几个初高中同学说我眼中没光了，于是我就决定裸辞了！那一刻我想开了，如果没有自由思考自由做事的时间，财富于我何加焉，最开始疯狂攒钱想在北京全款搞一套，后面我觉得我还是更喜欢家里山里水里的生活，万分庆幸没有把户口迁出去，家里几百平宅基地嘎嘎香，有山有水，门前就是小桥流水，右边是大鱼塘，后面是无尽青山，简直不要太舒服？从北京来深圳后认识好多独立开发者，其中我最羡慕的是一个哥们，开发了很多别人不看好的出海小工具，Stripe 收款几十上百万美元，再小的需求只要解决也可以做到很好的收益，美国人的付费意识真是太好了，开发一些独立站，挣美国人的💰，还是睡后被动收入，不要坐班，常年旅居云南昆明大理，学开发实际产品需要的技术栈，而不是打工需要的螺丝刀，面试需要的八股文。就目前的社会现状而来，打工是以牺牲精神生活来解决社保和物质生活的，要想时间自由和财富自由，就必须有自己的生意，然后通过互联网这个放大器促进成交，可以是自己的软硬件产品，可以是出海网站，也可以是自媒体，总之是可以快速复制的东西。理想的状态应该是，只工作，不上班！有几款自己的出海挣美元的产品，全国旅居，美滋滋，谁规定的工作就必须一定要上班的，希望喜欢说大话的我不会饿死。                                上班一年半又工作两年半的感悟。                                 ",,无,True,无,2024-07-25 14:39,微博轻享版,21,1,12
OoLhd01r0,https://weibo.cn/comment/OoLhd01r0?uid=6859133019&rl=0#cmtfrm,三个月来陆陆续续把一些做过的 mini demo 发到小红书上，到昨天已经过百万阅读，快十万点赞收藏、5000粉丝了，随时这种随手发的没有任何剪辑的图文推流也还行。好几个 MCN 要来签约，发现一大半都是骗子，平台一搜都是受害者，好奇这些 MCN 居然都没有查封。  ,,无,True,无,2024-07-22 19:14,微博轻享版,4,0,2
Onfy4aXnx,https://weibo.cn/comment/Onfy4aXnx?uid=6859133019&rl=0#cmtfrm,"#大明王朝1566##雍正王朝# 不愧是大陆历史剧 Top1 Top2就拿最近 Thu 学术大瓜来说最热的一个 issues 全是大明王朝1566和雍正王朝的口吻还有合理怀疑《人民的名义》编剧看过《大明王朝1566》大明王朝1566里面小阁老（也就是人民的名义的高育良书记的扮演者）骂高翰文有这样一句台词：什么狗屁两榜进士，一个商人玩剩下的艺妓，你都当成宝贝似地娶到家里，你高家十八代祖宗的脸都让你丢尽了。关键词：商人，艺妓，高家。十几年后的子弹正中高育良眉心，关键词，商人高小凤，高家高育良，连人物形式，角色形象，情节都没改。十几年前骂人家，现在被人家骂，高育良解释道：我跟高小凤只是爱情。大明王朝这部剧之所以堪称第一，是因为他合理的描述解释了官场上几乎每一类人的立场态度和做法，大明的利剑，大明的腐朽，大明的不粘锅，大明的公忠体国……神奇的是这么牛逼的剧居然是湖南卫视拍的，还是2007年如日中天的湖南卫视黄金时间档，当时包括我在内几乎身边所有人都以为这部分是烂剧，因为他没有小鲜肉没有情情爱爱，特别是在那个清廷穿越剧横行其道的时候，谁能想到十几年后的20年代，这部剧开始大放异彩。          原图                         ",https://ww1.sinaimg.cn/large/007ucdPJgy1hrljalw793j31402gwto4.jpg,无,True,无,2024-07-12 20:38,微博轻享版,1,0,2
OmVrL1QQz,https://weibo.cn/comment/OmVrL1QQz?uid=6859133019&rl=0#cmtfrm,转发微博已被删除,无,,False,无,2024-07-10 17:27,微博轻享版,1,0,0
OmAyP64iw,https://weibo.cn/comment/OmAyP64iw?uid=6859133019&rl=0#cmtfrm,没读过书的人的遇到难事会报怨自己没读书，而读过书的人会心安理得地埋怨社会、制度和他人。  ,,无,True,无,2024-07-08 12:17,微博轻享版,9,0,5
Om1740bAK,https://weibo.cn/comment/Om1740bAK?uid=6859133019&rl=0#cmtfrm,我虽然是 INFJ，今天也是实实在在当了一把判官，对于没素质的人 i 人本人化身江湖侠客。  ,,无,True,无,2024-07-04 18:02,微博轻享版,12,0,1
OftfQnfC6,https://weibo.cn/comment/OftfQnfC6?uid=6859133019&rl=0#cmtfrm,得空驱车100km，东莞袁崇焕纪念园宁远城外打死后金清朝的开创者努尔哈赤，的有明袁大督师，被多疑的崇祯皇帝凌迟于北京菜市口……园子虽小，名字是金庸亲笔题名的，墓碑是敌人清朝道光帝立的#袁崇焕[超话]##民族脊梁##故国有明# 东莞·石碣镇袁崇焕纪念园  显示地图 [组图共3张] 原图 ,https://ww2.sinaimg.cn/large/007ucdPJgy1hpye2gd3h6j32io1w04qq.jpg https://ww3.sinaimg.cn/large/007ucdPJgy1hpye2ixkadj32io1w0e81.jpg https://ww4.sinaimg.cn/large/007ucdPJgy1hpye2oytvxj32bc3341kz.jpg,无,True,东莞·石碣镇袁崇焕纪念园,2024-05-22 16:49,微博轻享版,3,0,1
Oa7c1wCdG,https://weibo.cn/comment/Oa7c1wCdG?uid=6859133019&rl=0#cmtfrm,约等于实名上网的网名，和苏轼之间的缘分，很多年前就开始了。  原图 ,https://ww2.sinaimg.cn/large/007ucdPJgy1hoto2q2ndlj315y0c1wh7.jpg,无,True,无,2024-04-17 11:27,微博网页版,15,0,0
O9J7ucavl,https://weibo.cn/comment/O9J7ucavl?uid=6859133019&rl=0#cmtfrm,李嘉诚在山顶有一套几十亿的豪宅不敢想象他每天有多快乐 香港·太平山顶  显示地图 [组图共2张] 原图 ,https://ww3.sinaimg.cn/large/007ucdPJgy1hoqpsk1svnj33402c0b2a.jpg https://ww3.sinaimg.cn/large/007ucdPJgy1hoqptkitgvj33402c07wj.jpg,无,True,香港·太平山顶,2024-04-14 22:10,微博轻享版,7,0,0
O9qd7AmZW,https://weibo.cn/comment/O9qd7AmZW?uid=6859133019&rl=0#cmtfrm,"《笑傲江湖》主角令狐冲性格的最可爱处是在于不羁，名门正派的戒律，能使他在思想上有一定的约束，但是在行为上，他却处处在突破这种约束。在自然而然之中，流露他的真性情。他不执着，不在乎，潇洒浪漫之处，在金庸笔下所有男主角之上，允称第一。他比杨过多了几分随意，比韦小宝多了几分气派，比乔峰多了几分潇洒。金庸认为“令狐冲不是大侠，是陶潜那样追求自由和个性解放的隐士”。令狐冲是作品中唯的一亮点，他本可以成为超乎正邪之外的孤胆英雄，但是，文化失败主义的阴影已经给此时金庸的英雄创造设置了巨大的心理障碍。令狐冲再也无法承担起像郭靖、杨过、张无忌、萧峰那样的恢复江湖秩序使命。他无法成为真正意义上的英雄。表面上看，令狐冲的选择是个性使然，但其中也潜隐着作者对儒家文化深刻的失望与悲观。令狐冲身上兼具儒家的英风侠骨和道家的仙风道骨。                                                                                       摘自百度百科。                                 ",,无,True,无,2024-04-12 22:02,微博网页版,0,0,0
O8mWGrYxd,https://weibo.cn/comment/O8mWGrYxd?uid=6859133019&rl=0#cmtfrm,去年写的一个小站点一周内依次被我阮一峰老师周刊报道、快 10 个百万博主转发了，近几天网站访问量快超过 10w 了。因此流量激增，服务器 24 小时几乎都 80% 以上负载。每次打开邮箱都是服务器报警，打开微博都是 99+ 的点赞和评论消息。亲身体验，开发一个被 10w 人使用过的网站比挣 10w 块舒服。  ,,无,True,无,2024-04-05 23:53,微博轻享版,41,0,10
O8mUupKRu,https://weibo.cn/comment/O8mUupKRu?uid=6859133019&rl=0#cmtfrm,"转发理由:谢谢大家喜欢，刚好是笔者一年前的作品，很多小功能欢迎去网站体验~，持续维护中~  
原始用户: 明天----今天----昨天
转发内容: 余光中说：我如果去旅行，不会跟李白一起，因为他不负责任。也不会选杜甫，因为他太苦了。我会去找苏东坡，他是一个有趣的人。 ====================================中国古代历史人物可视化：古人的社会关系、亲戚关系和生平足迹图网页链接  [组图共9张] 原图 ",无,https://ww1.sinaimg.cn/large/75c2adf9gy1ho9vo978taj20p00jgwp4.jpg https://ww2.sinaimg.cn/large/75c2adf9gy1ho9vobu1i7j21n70fl0yo.jpg https://ww3.sinaimg.cn/large/75c2adf9gy1ho9vojv8tpj21da179b29.jpg https://ww4.sinaimg.cn/large/75c2adf9ly1hocsljj3waj20nt0jgjs4.jpg https://ww3.sinaimg.cn/large/75c2adf9ly1hocsljt77gj20nt0jg1kx.jpg https://ww1.sinaimg.cn/large/75c2adf9ly1hocsljjfgmj20nt0jgafr.jpg https://ww3.sinaimg.cn/large/75c2adf9ly1hocsljri91j20nt0jg46e.jpg https://ww2.sinaimg.cn/large/75c2adf9ly1hocslp6al5j20nt0jge2i.jpg https://ww2.sinaimg.cn/large/75c2adf9ly1hocsloyw0sj20nt0jggv7.jpg,False,无,2024-04-05 23:48,微博轻享版,61,11,7
O791RdEE5,https://weibo.cn/comment/O791RdEE5?uid=6859133019&rl=0#cmtfrm,"#小米su7#  看了发布会，雷神是铁了心直接在在汽车上冲高了，他完全可以定价19.9w然后不送那么多选配件的，或者进一步定价15.9w不再追求零百性能。如果不是最近卷的飞起，Max 版大概率 32w 起。在小米手机上吃的亏太多了，用户心智很重要，先做高端，用户就会觉得品牌高端，再做低端，就居高临下水到渠成了，所以年轻人的第一辆车9w9再等等，等雷总杀回来。对小米不评价，对雷总个人的魅力还是很欣赏的，我心澎湃                                 ",,无,True,无,2024-03-28 22:37,微博轻享版,2,0,0
NuFh0eopx,https://weibo.cn/comment/NuFh0eopx?uid=6859133019&rl=0#cmtfrm,"抽空看了下华为 Harmony OS 的开发流程，大概是这样开发语言 ArkTS，华为版本的 TypeScript，吸纳了一波前端开发；支持声明式 UI，又和 iOS 的 SwiftUI 很像（和 Jetpack compose 也像）IDE 是 DevEco Studio，看上去不能说和 Android Studio 有点像，只能说”一模一样“，应该是基于 IDEA 社区版开发的这样一来，大前端框架下的传统前端开发、Android 开发、iOS 开发都可以自带基础切换到 HarmonyOS 开发，大前端一统，沸腾起来了 #harmonyos##androidstudio##swiftui##typescript#                                 ",,无,True,无,2023-11-28 16:15,微博网页版,2,1,0
Nrdzyfwtl,https://weibo.cn/comment/Nrdzyfwtl?uid=6859133019&rl=0#cmtfrm,"第 N 次刷完中华上下五千年历史了，以至于最近一个月在各种线上历史组群账号动态，竟没有一个耳目一新的小故事了，豆瓣历史剧前 10  差不多也刷完一遍了，只剩下《走向共和》未完成。刷到东吴，东晋，南宋齐梁陈六朝，发现门户私计的六朝中的两朝南齐南梁的皇帝竟然是我老萧家的，南梁萧衍好好的皇帝不当，三番四次出家当和尚，对此唐朝杜牧评价道“南朝四百八十寺，多少楼台烟雨中”。通过《贞观之治》补齐了下对唐朝的总体把握，马跃演的唐太宗活灵活现，整部剧唯一的缺点个人感觉服化道不太鲜明，刚明强汉盛唐是我心中的 top3 朝代，不过分的说，我是一个精明（精神明朝人）的人。                                 ",,无,True,无,2023-11-06 00:13,微博轻享版,4,0,5
Np9P2ldyz,https://weibo.cn/comment/Np9P2ldyz?uid=6859133019&rl=0#cmtfrm,"转发理由:向使汝有洛阳二顷田，安能配六国相印？  
原始用户: 陈怡然-杜克大学
转发内容: 命里有时终须有，命里无时莫强求。（转）2012年2月13日，蔡浩宇、刘伟、罗宇皓、靳志成四位研究生，在上海交通大学闵行校区的D32宿舍，拿出各自的家当，成立了米哈游，注册资本10万元。1个多月后的3月19日，由于靳志成拿到思科的offer，米哈游召开临时股东会，同意靳志成将其所持13%的股份、总共作价1.3万元转让给刘伟和罗宇皓。10年之后的2023年，在胡润发布的《2023全球独角兽榜》中，米哈游估值500亿人民币（亦有机构对其估值3000亿元），位列上海独角兽企业第三名。  原图                 ",无,https://ww3.sinaimg.cn/large/831d43efgy1hj50fhely2j20go090jri.jpg,False,无,2023-10-23 10:59,微博轻享版,1,1,0
NlT1afE9D,https://weibo.cn/comment/NlT1afE9D?uid=6859133019&rl=0#cmtfrm,半部《论语》可治天下？✘半部《三国》可治天下！✔N 刷老三国了，每次看都有不同的感悟，对不同的人物的好恶也大相径庭。小时候看老三国觉得远不如新三国，是我等浅薄了。这次得空势必要写篇杂文在博客上。  ,,无,True,无,2023-10-01 22:42,微博轻享版,1,0,0
NjrwIb6NA,https://weibo.cn/comment/NjrwIb6NA?uid=6859133019&rl=0#cmtfrm,红军不怕远征难，万水千山只等闲。五岭逶迤腾细浪，乌蒙磅礴走泥丸。金沙水拍云崖暖，大渡桥横铁索寒。更喜岷山千里雪，三军过后尽开颜。  ,,无,True,无,2023-09-15 21:02,微博网页版,2,0,0
N8G706bp7,https://weibo.cn/comment/N8G706bp7?uid=6859133019&rl=0#cmtfrm,今天是我的生日07月07日，来祝福我吧~  ,,无,True,无,2023-07-07 01:56,生日动态,1,0,2
N0J1R3xrh,https://weibo.cn/comment/N0J1R3xrh?uid=6859133019&rl=0#cmtfrm,特斯拉员工涨薪，“害人害己”领英中国裁员 2N+3，“奉劝领英遵守中国法律，不要给这么多的补偿”警惕资本主义打马恩牌，你一个工人阶级，能不能有点觉悟？“夏书记，要是我也拿 100 块一个月，我觉悟比您还高”  ,,无,True,无,2023-05-15 18:39,微博轻享版,10,0,0
MDwgU25dl,https://weibo.cn/comment/MDwgU25dl?uid=6859133019&rl=0#cmtfrm,"去年点了 Vue 和 Swift 技能栈，今年到现在点了 Unity3D 和 docker，同时自我感觉进阶 Android 和 web 前后端中级工程师、爬虫和数分高级工程师（自封的），毕业的前两年给单纯为了几万块的工资大厂打工 007 感觉真的太浪费时间。 同时宣布向硬件板子开战，大一一开始碰了硬件把我电脑系统搞崩代码全丢有了阴影，大学到现在 7 年没碰过硬件，今年第一次烧录板子就把电脑搞崩了，还好我有预期做了系统备份。梦想是成为志辉君那样的人（这辈子感觉希望不大），虽然辛苦，还是想热烈地过完这一生，不要温和地走入那个良夜。                                                       20230424 BuyiXiao 于广东大亚湾                                 ",,无,True,无,2023-04-24 23:08,微博网页版,19,0,3
